ip_src,ip_dst,ip_proto,ip_ttl,ip_len,timestamp,protocol,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg
192.168.1.100,93.184.216.34,6,64,40,1769868534.613056,TCP,59083,80,S,1811682,0,8192,1,0,0,0,0,0
93.184.216.34,192.168.1.100,6,64,40,1769868534.613127,TCP,80,59083,SA,8138668,1811683,8192,1,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.613201,TCP,59083,80,A,1811683,8138669,8192,0,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,77,1769868534.613263,TCP,59083,80,PA,1811683,8138669,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,182,1769868534.613372,TCP,59083,80,PA,1811720,8138669,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.613486,TCP,53611,80,S,4831347,0,8192,1,0,0,0,0,0
93.184.216.34,192.168.1.100,6,64,40,1769868534.613542,TCP,80,53611,SA,4104225,4831348,8192,1,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.613599,TCP,53611,80,A,4831348,4104226,8192,0,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,77,1769868534.61366,TCP,53611,80,PA,4831348,4104226,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,182,1769868534.613765,TCP,53611,80,PA,4831385,4104226,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.613883,TCP,57883,80,S,9975580,0,8192,1,0,0,0,0,0
93.184.216.34,192.168.1.100,6,64,40,1769868534.613946,TCP,80,57883,SA,5904912,9975581,8192,1,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.614289,TCP,57883,80,A,9975581,5904913,8192,0,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,77,1769868534.614348,TCP,57883,80,PA,9975581,5904913,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,182,1769868534.614453,TCP,57883,80,PA,9975618,5904913,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.614563,TCP,55762,80,S,5555031,0,8192,1,0,0,0,0,0
93.184.216.34,192.168.1.100,6,64,40,1769868534.614619,TCP,80,55762,SA,9260418,5555032,8192,1,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.614675,TCP,55762,80,A,5555032,9260419,8192,0,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,77,1769868534.61473,TCP,55762,80,PA,5555032,9260419,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,182,1769868534.614839,TCP,55762,80,PA,5555069,9260419,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.614948,TCP,61476,80,S,2114127,0,8192,1,0,0,0,0,0
93.184.216.34,192.168.1.100,6,64,40,1769868534.615003,TCP,80,61476,SA,7681448,2114128,8192,1,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,40,1769868534.615059,TCP,61476,80,A,2114128,7681449,8192,0,1,0,0,0,0
192.168.1.100,93.184.216.34,6,64,77,1769868534.615115,TCP,61476,80,PA,2114128,7681449,8192,0,1,0,0,1,0
192.168.1.100,93.184.216.34,6,64,182,1769868534.615223,TCP,61476,80,PA,2114165,7681449,8192,0,1,0,0,1,0
