ip_src,ip_dst,src_port,dst_port,protocol,duration,packet_count,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packets_per_second,bytes_per_second,avg_packet_size,syn_count,ack_count,fin_count,rst_count,start_time,end_time
10.0.0.50,192.168.1.10,13446,41752,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.618794,1769868534.618794
10.0.0.50,192.168.1.10,2231,15620,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.61888,1769868534.61888
10.0.0.50,192.168.1.10,19501,2950,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.618946,1769868534.618946
10.0.0.50,192.168.1.10,19530,53384,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619007,1769868534.619007
10.0.0.50,192.168.1.10,61926,21755,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619067,1769868534.619067
10.0.0.50,192.168.1.10,54519,11706,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619126,1769868534.619126
10.0.0.50,192.168.1.10,9729,9420,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619185,1769868534.619185
10.0.0.50,192.168.1.10,28295,60004,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619244,1769868534.619244
10.0.0.50,192.168.1.10,11996,54477,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619303,1769868534.619303
10.0.0.50,192.168.1.10,65527,24907,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619362,1769868534.619362
10.0.0.50,192.168.1.10,41634,22430,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.61942,1769868534.61942
10.0.0.50,192.168.1.10,21699,31501,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619478,1769868534.619478
10.0.0.50,192.168.1.10,56634,8360,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619536,1769868534.619536
10.0.0.50,192.168.1.10,10809,4137,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619595,1769868534.619595
10.0.0.50,192.168.1.10,24106,1936,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619654,1769868534.619654
10.0.0.50,192.168.1.10,64449,15256,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619712,1769868534.619712
10.0.0.50,192.168.1.10,34641,64831,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619772,1769868534.619772
10.0.0.50,192.168.1.10,32453,33057,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.61983,1769868534.61983
10.0.0.50,192.168.1.10,19351,24332,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619889,1769868534.619889
10.0.0.50,192.168.1.10,1539,12956,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.619948,1769868534.619948
10.0.0.50,192.168.1.10,24848,52215,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620007,1769868534.620007
10.0.0.50,192.168.1.10,38856,45261,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620065,1769868534.620065
10.0.0.50,192.168.1.10,58471,58288,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620124,1769868534.620124
10.0.0.50,192.168.1.10,39800,35950,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620182,1769868534.620182
10.0.0.50,192.168.1.10,62518,34783,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62024,1769868534.62024
10.0.0.50,192.168.1.10,19832,28179,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620298,1769868534.620298
10.0.0.50,192.168.1.10,55842,51620,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62042,1769868534.62042
10.0.0.50,192.168.1.10,3162,26899,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620482,1769868534.620482
10.0.0.50,192.168.1.10,5152,18361,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620541,1769868534.620541
10.0.0.50,192.168.1.10,34553,55951,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620599,1769868534.620599
10.0.0.50,192.168.1.10,36952,2746,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620657,1769868534.620657
10.0.0.50,192.168.1.10,41187,22296,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620715,1769868534.620715
10.0.0.50,192.168.1.10,35899,10222,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620773,1769868534.620773
10.0.0.50,192.168.1.10,39900,50610,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620832,1769868534.620832
10.0.0.50,192.168.1.10,31388,59322,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62089,1769868534.62089
10.0.0.50,192.168.1.10,28914,47194,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.620947,1769868534.620947
10.0.0.50,192.168.1.10,37174,35061,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621004,1769868534.621004
10.0.0.50,192.168.1.10,35368,11242,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621061,1769868534.621061
10.0.0.50,192.168.1.10,58546,15411,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621119,1769868534.621119
10.0.0.50,192.168.1.10,4530,13117,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621178,1769868534.621178
10.0.0.50,192.168.1.10,60145,37312,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621235,1769868534.621235
10.0.0.50,192.168.1.10,63221,9718,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621293,1769868534.621293
10.0.0.50,192.168.1.10,51835,50506,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62135,1769868534.62135
10.0.0.50,192.168.1.10,4503,27648,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621408,1769868534.621408
10.0.0.50,192.168.1.10,8291,57092,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621466,1769868534.621466
10.0.0.50,192.168.1.10,56774,56946,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621525,1769868534.621525
10.0.0.50,192.168.1.10,51677,43662,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621584,1769868534.621584
10.0.0.50,192.168.1.10,11099,14319,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621646,1769868534.621646
10.0.0.50,192.168.1.10,13220,59234,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621707,1769868534.621707
10.0.0.50,192.168.1.10,45669,6906,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.621767,1769868534.621767
