ip_src,ip_dst,ip_proto,ip_ttl,ip_len,timestamp,protocol,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg
10.0.0.50,192.168.1.10,6,64,40,1769868534.618794,TCP,13446,41752,S,6782467,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.61888,TCP,2231,15620,S,4492187,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.618946,TCP,19501,2950,S,7110603,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619007,TCP,19530,53384,S,2293460,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619067,TCP,61926,21755,S,7179691,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619126,TCP,54519,11706,S,8238217,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619185,TCP,9729,9420,S,2634700,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619244,TCP,28295,60004,S,9246909,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619303,TCP,11996,54477,S,1317334,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619362,TCP,65527,24907,S,5791067,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.61942,TCP,41634,22430,S,7100366,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619478,TCP,21699,31501,S,8996116,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619536,TCP,56634,8360,S,6840592,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619595,TCP,10809,4137,S,7010825,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619654,TCP,24106,1936,S,3135978,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619712,TCP,64449,15256,S,2829620,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619772,TCP,34641,64831,S,1729951,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.61983,TCP,32453,33057,S,3914907,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619889,TCP,19351,24332,S,7077418,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.619948,TCP,1539,12956,S,4126728,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620007,TCP,24848,52215,S,3620595,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620065,TCP,38856,45261,S,1723868,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620124,TCP,58471,58288,S,7780719,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620182,TCP,39800,35950,S,6354223,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.62024,TCP,62518,34783,S,1423592,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620298,TCP,19832,28179,S,6020969,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.62042,TCP,55842,51620,S,9316557,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620482,TCP,3162,26899,S,5454348,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620541,TCP,5152,18361,S,9413198,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620599,TCP,34553,55951,S,2060889,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620657,TCP,36952,2746,S,6610529,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620715,TCP,41187,22296,S,8981194,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620773,TCP,35899,10222,S,8278006,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620832,TCP,39900,50610,S,6573733,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.62089,TCP,31388,59322,S,9369306,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.620947,TCP,28914,47194,S,1799189,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621004,TCP,37174,35061,S,7963843,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621061,TCP,35368,11242,S,1187900,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621119,TCP,58546,15411,S,9504725,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621178,TCP,4530,13117,S,4735239,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621235,TCP,60145,37312,S,2168123,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621293,TCP,63221,9718,S,3062013,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.62135,TCP,51835,50506,S,9114657,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621408,TCP,4503,27648,S,5792727,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621466,TCP,8291,57092,S,1994399,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621525,TCP,56774,56946,S,2767671,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621584,TCP,51677,43662,S,4755488,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621646,TCP,11099,14319,S,6628194,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621707,TCP,13220,59234,S,3014537,0,8192,1,0,0,0,0,0
10.0.0.50,192.168.1.10,6,64,40,1769868534.621767,TCP,45669,6906,S,9479924,0,8192,1,0,0,0,0,0
