ip_src,ip_dst,src_port,dst_port,protocol,duration,packet_count,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packets_per_second,bytes_per_second,avg_packet_size,syn_count,ack_count,fin_count,rst_count,start_time,end_time
177.207.198.46,192.168.1.100,36491,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.628194,1769868534.628194
192.168.1.100,228.67.169.252,80,36160,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628268,1769868534.628268
14.36.203.50,192.168.1.100,51041,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.628332,1769868534.628332
192.168.1.100,6.11.148.211,80,45935,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628394,1769868534.628394
192.168.1.100,38.202.121.123,80,57292,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628498,1769868534.628498
161.151.158.244,192.168.1.100,7565,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.628574,1769868534.628574
192.168.1.100,200.185.177.96,80,16586,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628637,1769868534.628637
192.168.1.100,81.179.223.195,80,7920,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628701,1769868534.628701
192.168.1.100,2.230.56.187,80,54999,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628763,1769868534.628763
192.168.1.100,223.169.143.53,80,31315,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628826,1769868534.628826
103.101.105.223,192.168.1.100,25320,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.628891,1769868534.628891
192.168.1.100,95.157.39.140,80,9959,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.628953,1769868534.628953
144.240.95.70,192.168.1.100,27042,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629014,1769868534.629014
104.149.1.226,192.168.1.100,14138,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629079,1769868534.629079
122.181.144.5,192.168.1.100,4335,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629139,1769868534.629139
174.139.143.200,192.168.1.100,46423,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629201,1769868534.629201
192.168.1.100,2.42.114.72,80,11853,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.629261,1769868534.629261
124.225.10.194,192.168.1.100,24865,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62932,1769868534.62932
145.165.211.98,192.168.1.100,52992,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629386,1769868534.629386
103.22.97.61,192.168.1.100,28684,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.62945,1769868534.62945
192.168.1.100,210.106.82.86,80,58205,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.629509,1769868534.629509
132.218.138.113,192.168.1.100,65382,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629572,1769868534.629572
13.59.16.192,192.168.1.100,29943,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629652,1769868534.629652
192.168.1.100,31.130.196.122,80,49113,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.629715,1769868534.629715
192.168.1.100,217.155.61.50,80,41614,TCP,0.0,1,40,0,1,0,40,1,40,40.0,1,0,0,0,1769868534.629777,1769868534.629777
150.155.217.88,192.168.1.100,42058,80,TCP,0.0,1,40,1,0,40,0,1,40,40.0,1,0,0,0,1769868534.629854,1769868534.629854
